Time Sample# Type Sub Num
0:00.194 70 N 0 0
0:01.028 370 N 0 0
0:01.861 670 N 0 0
0:02.694 970 N 0 0
0:03.528 1270 N 0 0
0:04.361 1570 N 0 0
0:05.194 1870 N 0 0
0:06.028 2170 N 0 0
0:06.861 2470 N 0 0
0:07.694 2770 N 0 0
0:08.528 3070 A 0 0
0:09.361 3370 N 0 0
0:10.194 3670 N 0 0
0:11.028 3970 N 0 0
0:11.861 4270 N 0 0
0:12.694 4570 A 0 0
0:13.528 4870 N 0 0
0:14.361 5170 N 0 0
0:15.194 5470 N 0 0
0:16.028 5770 A 0 0
0:16.861 6070 A 0 0
0:17.694 6370 N 0 0
0:18.528 6670 N 0 0
0:19.361 6970 N 0 0
0:20.194 7270 N 0 0
0:21.028 7570 A 0 0
0:21.861 7870 N 0 0
0:22.694 8170 N 0 0
0:23.528 8470 N 0 0
0:24.361 8770 A 0 0
0:25.194 9070 N 0 0
0:26.028 9370 N 0 0
0:26.861 9670 N 0 0
0:27.694 9970 N 0 0
0:28.528 10270 A 0 0
0:29.361 10570 N 0 0
0:30.194 10870 N 0 0
0:31.028 11170 N 0 0
0:31.861 11470 A 0 0
0:32.694 11770 N 0 0
0:33.528 12070 A 0 0
0:34.361 12370 N 0 0
0:35.194 12670 N 0 0
0:36.028 12970 N 0 0
0:36.861 13270 N 0 0
0:37.694 13570 A 0 0
0:38.528 13870 N 0 0
0:39.361 14170 N 0 0
0:40.194 14470 N 0 0
0:41.028 14770 N 0 0
0:41.861 15070 N 0 0
0:42.694 15370 N 0 0
0:43.528 15670 N 0 0
0:44.361 15970 N 0 0
0:45.194 16270 A 0 0
0:46.028 16570 N 0 0
0:46.861 16870 N 0 0
0:47.694 17170 A 0 0
0:48.528 17470 N 0 0
0:49.361 17770 N 0 0
0:50.194 18070 N 0 0
0:51.028 18370 N 0 0
0:51.861 18670 N 0 0
0:52.694 18970 A 0 0
0:53.528 19270 N 0 0
0:54.361 19570 N 0 0
0:55.194 19870 N 0 0
0:56.028 20170 A 0 0
0:56.861 20470 A 0 0
0:57.694 20770 A 0 0
0:58.528 21070 N 0 0
0:59.361 21370 N 0 0
1:00.194 21670 N 0 0
1:01.028 21970 N 0 0
1:01.861 22270 A 0 0
1:02.694 22570 N 0 0
1:03.528 22870 N 0 0
1:04.361 23170 N 0 0
1:05.194 23470 N 0 0
1:06.028 23770 N 0 0
1:06.861 24070 A 0 0
1:07.694 24370 N 0 0
1:08.528 24670 N 0 0
1:09.361 24970 N 0 0
1:10.194 25270 N 0 0
1:11.028 25570 N 0 0
1:11.861 25870 N 0 0
1:12.694 26170 N 0 0
1:13.528 26470 A 0 0
1:14.361 26770 N 0 0
1:15.194 27070 N 0 0
1:16.028 27370 N 0 0
1:16.861 27670 N 0 0
1:17.694 27970 N 0 0
1:18.528 28270 N 0 0
1:19.361 28570 N 0 0
1:20.194 28870 A 0 0
1:21.028 29170 N 0 0
1:21.861 29470 N 0 0
1:22.694 29770 N 0 0
